product,symptom,cause
C-DV043W-5,LED表示,"● 録画LEDは、録画を行っている場合に点滅します。点滅は異常表示ではありません。
● 電源LEDは、スタンバイ中は5秒毎に点滅します。"
C-DV043-10,ビデオロストになる,"症状：特定のカメラでビデオロストになる。

原因：ターミナル基板内のスイッチ劣化によるもの。

7000406780　ＣＤＶ０４３ＴＥＲＭＩＮＡＬ（Ｒ１６６１
症状が潜伏する場合があるので注意が必要です。"
C-DV/DR043,HDD累積時間リセット,"HDD累積稼働時間のリセット
｢メニュー/システム情報/ログ表示｣画面の『HDD累積稼働時間』の表示をリセットできます。
HDD累積稼働時間は本機の電源がONされている時間を計測しています。
≪リセットの手順≫
3-1. ｢メニュー/システム情報/ログ表示｣画面を表示する。
3-2. 以下の順番にフロントキーを押す。
一時停止
↓
Key 2
↓
Key 3
↓
Key 1
↓
Key 4
↓
Key 2
↓
Key 4
↓
一時停止
3-3. 『HDD累積稼働時間』の表示が、『0．0H』にリセットされます。"
C-DV/DR043,突然電源が落ち、画面上に「システムチェック中」表示が出る,"【状況】
突如電源が落ち、画面上に｢システムチェック中｣表示が出るが、正常に立ち上
がらずリセットを繰り返す。数回再起動後｢ハードディスク初期化しますか？｣の
表示が出て、｢いいえ｣で進むと、｢ハードディスクを認識できません。録画を行
なわずに起動しますか｣の表示。録画せず起動するが、ログは一切読み出せない。
上記の症状発生時は“カチカチ”と音がする。（HDDが再起動を繰り返す音）

【対象機器】
　　C-DR043-1　07K40000001 ～ 08A4000115
　　C-DR043-6　07K40000001 ～ 08A4000051
　　C-DV043-1　07J40000001 ～ 08A4000113
　　C-DV043-6　07J40000001 ～ 08A4000063

【原　　因】
ハードディスクの電源コネクタケーブルの接触不良で、ハードディスクがリセ
ットを繰り返す。コネクタケーブルのピンコンタクトに嵌合の甘いもの（ばら
つきの大きいもの）があり、接触不良を起こす。
ハードディスクが起動しないため、ＣＰＵがハードディスクを認識できずに立
ちあがったり、接触抵抗による電圧降下でシステム自体がリセットを繰り返す。

【対策処置】
以下の場合に、電源ケーブルを交換する。
①当該症状が発生している場合。
②対象機器を上記以外の症状で修理を行う場合や、ハードディスク交換時。
　※コネクターに油性マジック（赤）で「?」チェックを入れる。
　※修理時、電源ケーブルはすべて交換すること。
　・交換部品の詳細　
　　部品番号：123-49-365-7A
　　価　　格：300円

【注意事項】
・対象ロットの機器のみに適応する。
・対象機器の修理や、ハードディスクの交換修理時に製造番号が特定できない
　場合は、念のため電源ケーブルを必要数準備し、対応してください。"
C-DR166D40,"C-DR096,C-DR166シリーズ　HDD異常に対する暫定処置","暫定処置ではありますが、以下対策が出ましたのでご対応お願い致します。
広域で依頼が発生する可能性有です。
併せてご対応よろしくお願い致します。

【内容】
C-DR096,C-DR166シリーズのレコーダーで出張修理訪問の際に添付のファームウェ
アにバージョンアップするようにTTSへ指示してください。
詳細は別途案内がありますが、特に「HDD異常」が納入から早期に発生している場合、
HDD自体は故障していないがファームウェアとの関係で「HDD異常」と判断してしまう事
への対策ファームです。

現在、試験的にティーエスコーポレーションにてHDD単体が故障しているのか？
を現地で「ＳＭＡＲＴ情報」を確認するように依頼しています、上記機器のHDD異常
がティーエスコーポレーション対応地域（中部、広島含む）で発生している場合、
TSCへ出来るだけ依頼してください。


■アップデートソフトウェア




■バージョンアップ方法
(9/1 13:41更新：手順7に「一旦OFFにし、再度」を追記）



■備考
１）今回のバージョンアップで録画映像が消去されることはありません。
２）今回のバージョンアップで録画設定等レコーダーの機器設定が消去されることはありません。
３）バージョンアップ手順を丁寧に説明したものが過去に作成されていましたので、
　　今回のバージョンアップに書き直したものを以下に添付します。必要であればご使用ください。"
C-DR166D40,C-DR166D40　HDD交換してもエラー消えない,"1.　新品を搭載してもエラーが解消されない。
2.　そのエラーとなったままの新品HDD　1台のみレコーダーに接続する。
　　（A/Bどちらでも構いません）
3.　電源投入。
4.　エラー音が鳴り、「ハードディスクにエラーが発生しました　電源キーで再起動してください」が表示。
5.　その状態で、メニューキー　3秒長押し。
6.　「実行しますか？」　「長時間」「ミラー」　　　「キャンセル」が表示されるので、長時間を選択し、実行。
7.　「終了しました。再生モードは「全て」になります。」　　「OK」を押して完了。電源を切ってください。

以上の操作を行ったのち、2台のHDDを接続していただき起動してください。"
C-DR166D20,"C-DR096,C-DR166シリーズ　HDD異常に対する暫定処置","暫定処置ではありますが、以下対策が出ましたのでご対応お願い致します。
広域で依頼が発生する可能性有です。
併せてご対応よろしくお願い致します。

【内容】
C-DR096,C-DR166シリーズのレコーダーで出張修理訪問の際に添付のファームウェ
アにバージョンアップするようにTTSへ指示してください。
詳細は別途案内がありますが、特に「HDD異常」が納入から早期に発生している場合、
HDD自体は故障していないがファームウェアとの関係で「HDD異常」と判断してしまう事
への対策ファームです。

現在、試験的にティーエスコーポレーションにてHDD単体が故障しているのか？
を現地で「ＳＭＡＲＴ情報」を確認するように依頼しています、上記機器のHDD異常
がティーエスコーポレーション対応地域（中部、広島含む）で発生している場合、
TSCへ出来るだけ依頼してください。


■アップデートソフトウェア




■バージョンアップ方法
(9/1 13:41更新：手順7に「一旦OFFにし、再度」を追記）



■備考
１）今回のバージョンアップで録画映像が消去されることはありません。
２）今回のバージョンアップで録画設定等レコーダーの機器設定が消去されることはありません。
３）バージョンアップ手順を丁寧に説明したものが過去に作成されていましたので、
　　今回のバージョンアップに書き直したものを以下に添付します。必要であればご使用ください。"
C-DR166D20,BDメカ,"C-DR096D10
C-DR096D20
C-DR166D20
C-DR166D40

Z3778"
C-DR166D20,HDDのフォーマットについて,"HDDの片方だけエラー出てる場合、
エラー出ている方のみ交換。
交換しないほうのHDDのデータは残せます。
（残せると松永様-ASで確認済みです）

【手順】

データ残したい方のHDDを取り外して、フォーマット。
元に戻した場合、メイン基板に情報残っている為、認識してくれるとのこと。（by松原情報）


以下、堀情報。
C-DR096D20で、本日たまたま同じHDD片方NGの案件がありまして、
マニュアルに手順がありました。

S/M P41参照
機器メンテナンス→HDD初期化→HDD初期化画面で①⑧押しながら、メニューキーを押す。 

そうするとHDDの個別選択が出来、片方だけ初期化可能。
※増設HDD有る場合は、増設を先に個別初期化を。
＊必ず、AC電源を一度切る必要あり！！！！！"
C-DR164-20,4シリーズデジタルレコーダー基板回路図,韓国メーカーから入手（社外秘）
C-DR164-20,Internet Explorer11 対応,"■対象機種
C-DR044-2、C-DR044-10、C-DR044-5、C-DV044-2、C-DV044-10、
C-DV044-5、C-DV044W5、C-DR084-5、C-DR084-10、C-DV084W10、
C-DR164-10、C-DR164-20、C-DR164W10
※この機種以外には絶対適用しないでください。


■症状
　Internet Explorer11がインストールされているパソコンでDVR Media 
　Playerでバックアップしたデータを再生する場合、再生表示できません。


■対応方法
　機器側ファームウェアのバージョンアップ（V1.2.1）で対応できます。
　C-DR/DV044シリーズ用 : CDR044FW_121.zip
　C-DR084シリーズ用    : CDR084FW_121.zip
  C-DR164シリーズ用    : CDR164FW_121.zip 

※解凍後のデータで本体をバージョンアップしてください。
　解凍ファイルのパスワードは「toatoatoa」です。社外に渡す場合、
　必要に応じて使用ください。
※ファームアップを実施してもデジタルレコーダーの設定内容や記録済
　の画像には影響はありません。
※ファームアップ中に電源が落ちると、復旧できなくなりますので充分
　に注意してください。



*******************************************************************************
右クリックで以下ソフトインストールできます。

バックアップデータ（DVR Media Player形式）をIE11対応のPCで表示できない場合、
以下のコンバーターを使って見ることができます。
対象製品：
・H.264方式　据置型デジタルレコーダー
C-DR044-5/C-DR044-10/C-DR084-5/C-DR084-10/C-DR164-10/C-DR164-20
C-DV044-5/C-DV044-10
・H.264方式　壁掛型デジタルレコーダー
C-DV044W5/C-DV084W10/C-DV164W10
　　・HD-SDIレコーダー　2局 1TB ／ 4局 2TB
H-R021-1/ H-R041-2"
C-DR164-20,TOA製コンビネーションカメラを使用する場合のご注意,"コンビネーションカメラを使用する場合は、カメラの DIP スイッチを「タイプ B」に設定
してください。
本機とコンビネーションカメラの通信方式（カメラプロトコル）は、タイプ B（TOA-B）のみに対応してい
ます。タイプ B 以外に設定されているカメラを操作することはできません。

［C-CC511、C-CC514、C-CC571、C-CC574、C-CC711、C-CC714、C-CC771、C-CC774］"
C-DR164-20,USB基板について,"入手不可の為、コネクタの交換となります。
1230214580*2"
C-DR164-20,ブラウザでネットワーク画像出ない,"インターネットエクスプローラを使用してください。
Google Chromeは対応していません。

デジタルレコーダのIP設定は以下の通りに。

DHCP自動割当

PCで画像を見る場合：
DHCP自動割当で割り当てられたIPアドレスをPCブラウザの
アドレスへ入力する。

例）172.168.1.107

デジタルレコーダの画面が立ち上がるので、必要事項
入力する。

以下は、デフォルト値です。

ID: Administrator
PASS:空白
ネットワークポート：10101"
C-DR164-20,フリ－ズして前面パネルのキ－操作を受け付けない,"原因：機器内部のフロント基板とメイン基板を接続するコネクタ（メイン基板側）内部の
　　　腐食によるもの。

処置：以下部品の交換を行います。
　　　デジタルレコーダ基板　■7000466320
　　　フラットケーブル　　　■1240443550  "
C-DR164-20,モニター画面に「システム初期化中…」の文字が表示されたままとなる,C-DR084-5を参照
C-DR163-10,"スイッチング電源情報
TOA様向け：PCFL-180P-F2SA","PCFL-180P-F2SのCN12の22ピンがPS-ONになっています。
これをCOMに接続して、電位を0にすると電源が入りますので
デジレコ本体が無くても各電圧点検できます。

特注品は、24Vの電圧が異なるとお伝えしましたが、実際には
デジレコでは24V使用していなので関係ありませんでした。

3.3V,  5V,  12V, -12Vのどの電圧が出ていないかで或る程度絞れます。



◆対象製品
標準品：PCFL-180P-F2S
TOA様向け：PCFL-180P-F2SA   TOA部品番号：7000425620
 
-F2SAは、仕様の違いは標準タイプの-F2Sは出力電圧はDC24VですがF2SAはDC25.5V
となっております。
安全規格上、公称電圧としては-F2SAもDC24Vであるため製品仕様書上はDC24Vとさ
せて頂き弊社にて調整し出荷させて頂いておりました。
また、一部制御ICが標準タイプ-F2Sと-F2SAでは異なる点がございます。


株式会社ニプロン Nipron Co., Ltd.
営業統括本部　 沖　健太郎
兵庫県尼崎市西長洲町1丁目3番30号
Tel) 06-6487-0605 Fax) 06-6487-2212
E-Mail ：kntarou_oki@nipron.co.jp 
"
C-DR163-10,メイン基板交換時の注意,"Ｃ－ＤＲ１６３／０９３のデジレコ基板ですが　出荷時はＨＤＤ2台用として出荷
されています。
今回はＣ－ＤＲ１６３－１０（ＨＤＤ1台）にそのデジレコ基板を取り替えたので
ＨＤＤ２が検出できずＨＤＤ２ハードディスクエラーが発生しております。

サービスマニュアル上での情報漏れです。ご迷惑おかけしました。

今回の対応ですが
生産用の検査モード（社外秘）で対応が可能です。
情報添付いたします。今回のみ活用してください。
今後は　ＨＤＤ1個用のデジレコ基板も準備し機種によって使い分けていただくよ
うに案内することを考えています。

Ｃ－ＤＲ１６３／０９３　ＨＤＤ台数登録方法
①
②

現時点で供給しているデジレコ基板はＨＤＤ2台用として設定されています
したがってＣ－ＤＲ１６３－１０（ＨＤＤ1台）にデジレコ基板を組み込み電源Ｏ
ＮでＨＤＤ２ハードディスクエラーが発生します。

ＨＤＤ台数を変える方法は
機種にデジレコ基板を組み込み①のＨＤＤ登録方法を実行するとその機種のＨＤＤ
台数に設定されます。"
C-DR161D6,DVDメカ,"AD-7200S　ピックアップ DS1XD  1000335170 13,000円
AD-7240S  ピックアップ DS19S
AD-7260S  ピックアップ DS1XD

AD間の互換性あります。どのADを搭載しても問題ありません。

**********************************************************

1000335170
AD-7200S　ピックアップ DS1XD
EJECTスイッチとLEDの位置間隔が10mmはこのタイプ。


1000339390
AD-7240S  ピックアップ DS19S
AD-7230S
AD-7260S  ピックアップ DS1XD
AD-7280S
これらは互換あり。
EJECTスイッチとLEDの位置間隔が15mmはこのタイプ。




情報共有のため工場から入手した仕様変更履歴を記載します。
結果、DVDドライブは２回の仕様変更を行っています。

当初は1000335170/AD-7200S DVDドライブ 現在庫：１

１回目の仕様変更No. 201006150
旧1000335170/AD-7200S DVDドライブ 現在庫：１ → 新1000337330/パーツ未登録
旧2013542290/CDR161D20 フロントパネル ヌリ・シルク 現在庫：３ → 新201354229A/パーツ未登録
互換性：フロントパネルをセットで交換が必要

２回目の仕様変更No. 2011070031
旧1000337330/パーツ未登録 → 新1000339390/AD-7260S DVDドライブ 現在庫：０
互換性：あり

AD-7200からAD-7260に変更する場合、フロントパネルをセットで交換する必要があります。
AD-7260Sの使用実績：2011年～2012年の約1年間実績です。"
C-DR161D6,"Webブラウザでの画像閲覧方法
Javaのセキュリティ設定説明あります","■C-DR161D6をWebブラウザで閲覧/操作する方法

1.　パソコンとC-DR161D6をLANクロスケーブルで接続する。（直接接続の場合）

2.　パソコンのコマンドプロンプトを立ち上げる。

3.　ipconfigと入力しEnterを押すと、IP Address（下段）が表示されます。
　　このアドレスがC-DR161D6のIPとなります。

4.　パソコンのIPアドレスを192.168.1.1以外、C-DR161D6以外のアドレスに設定。
　　ネットマスク　　　　　　：255.255.255.0
　　デフォルトゲートウェイ　：192.168.1.1

5.　WebブラウザのIEを立ち上げます。

6.　アドレスに、C-DR161D6のアドレスを入力し、Enterを押します。

7.　パスワードを求められますので、ユーザーID:root、パスワードは設定された
　　パスワードをモニターを接続して確認し入力します。

■Webブラウザで映像が表示されない場合

1.　パソコンのJAVAを最新バージョンにインストールしてください。（重要）

　　http://java.com/ja/download/　　

2.　IEを6以降にバージョンアップしてください。

■セキィリティエラーのメッセージが表示され映像が表示されない場合（最新のJavaで症状発生）

1.　PCのスタートボタンを押す。

2.　[すべてのプログラム]から[Java]-[Configure Java]を開く。

3.　[セキィリティ]タブから[サイト・リストの編集]を押す。

4.　レコーダのIPアドレスを例外として指定する。
　　入力形式は、[http://192.168.11.0]などとhttp://から入力する。

5.　[追加]を押し、例外サイト・リストに追加されたことを確認する。"
C-DR161D6,"Webブラウザは起動できるが画像が閲覧できない
初めてPCで使用する場合","■Webブラウザで映像が表示されない場合

1.　パソコンのJAVAを最新バージョンにインストールしてください。

　　http://java.com/ja/download/　　

2.　IEを6以降にバージョンアップしてください。"
C-DR161D6,ファームウェアバージョンアップ方法,"1. 下記にあるようなフォーマットのファイルをUSBメモリのルートに入れてください。
　　一番最初に見つかったファイルを使用しますので、複数のファイルをメモリに入れていても1つのファ
　　イルしかアップデートされません。
　　メインプログラムファイル以外は、ファイル名称は固定です。

ブートプログラム　BOOTDATA．BIN
メインプログラム　XXXXXXXX．BIN
フォント　　　　　FONTDATA．BIN
FPGA 　　　　　　 FPGADATA．BIN

2. デジタルレコーダーの電源キーを押し、スタンバイ状態にする。

3. デジタルレコーダーの主電源をOFFする。（電源プラグを抜く）

4.「８」「９」キーを同時押ししながら、デジタルレコーダーの主電源をONする（電源プラグを挿入する）。
　録画LEDと電源LEDが点灯するまで押し続け、点灯したら離す。

5. ファイルを入れたUSBメモリーをコピー端子に挿入する。

6. 録画LEDと電源LEDが消灯し、緊急録画LEDが点滅してUSBメモリーからファイルが読み込まれる。
　しばらくするとフロントパネルの全LEDが点灯する。
　USBメモリからファイルが読み込まれているとき（緊急録画LEDが点滅中）に、コピー端子からUSBメ
　モリを抜いたり、電源を切らないでください。

7. USBメモリーを抜き、デジタルレコーダーの電源を主電源（電源プラグ）で再起動すると、スタンバイ
　状態となるため、電源キーを押しデジタルレコーダーを起動させる。

　※メインプログラムのアップデートを行った場合は、起動時にモニター出力1の画面にソフトバージョ
　ンが表示されるので、更新されたことを確認する。
　続けて、他のファイルをアップデートする場合には、USBメモリのルートから既にアップデートされたフ
　ァイルを削除し、次にアップデートしたいファイルをUSBメモリのルートに入れ、手順1～7を再度行って
　ください。"
C-DR161D6,基本情報（ファームの最新バージョン、GB数他）,"デジタルレコーダー
16局 600GB DVD　C-DR161D6　生産完了品	
●USBメモリ
・USB1.1のみ
・FAT12 / FAT16フォーマット
・最大2GB (※1)
●DVD-R	
USBメモリは左記条件を満たすものを使用して下さい。
（注）	左記使用条件に合致しているにも関わらず、使用できないUSBメモリがあります。
●使用できない品番はこちら
Buffalo社製	：	RUF2-K2GE-BK
RUF2-K2GE-WH


(※1)
「容量4GB以上かつFAT32」のUSBメモリを「容量2GBかつFAT16」のUSBメモリに変換するアプリケーションを
商品データダウンロードサイトにて公開しています。
商品ダウンロードサイトからデジタルレコーダーの品番を入力し、「ソフトウェア USB変換ソフト」をダウンロードしてください。
◎Win7への対応
最新ファームウェア2.13へのVU必要"
C-DR161D6,再生できない,"症状：電源は正常に入るが、再生画面がフリーズして時計表示も進まない。
原因：ハードディスクの劣化。但し、異常ログを確認してもHDDの異常は認められない。
処置：HDD 2基の交換、変換アダプタ2個の追加。SATA 500GBが2基必要。"
C-DR161D6,書き込んだDVDがWindows7/10のPCで再生できない,"C-DR161D6には旧タイプのATAのDVDドライブが搭載されていますが、
ファームウェアのバージョンが古いと、書き込んだDVDがパソコンで認識されない
（ただしくは、XPパソコンでしか再生できない）症状となります。

2012/2/8付けサービス情報にありますとおり、「Ｗｉｎｄｏｗｓ７対応」を実施し
ファームウェアを最新の2.13にすることで、Windows10でも再生ができるように
なります。

◆対象機種
C-DR161-6,C-DR161D6"
C-DR161D6,電源ランプが常時点滅,"原因は機器とは異なるファームウェアを入れた可能性が高い。
画面には「機器異常」、電源ランプは「常時点滅」

→正規のファームウェアを入れると改善する。"
C-DR161D20,DVDメカ,"AD-7200S　ピックアップ DS1XD  1000335170 13,000円
AD-7240S  ピックアップ DS19S
AD-7260S  ピックアップ DS1XD

AD間の互換性あります。どのADを搭載しても問題ありません。

**********************************************************

1000335170
AD-7200S　ピックアップ DS1XD
EJECTスイッチとLEDの位置間隔が10mmはこのタイプ。


1000339390
AD-7240S  ピックアップ DS19S
AD-7230S
AD-7260S  ピックアップ DS1XD
AD-7280S
これらは互換あり。
EJECTスイッチとLEDの位置間隔が15mmはこのタイプ。



情報共有のため工場から入手した仕様変更履歴を記載します。
結果、DVDドライブは２回の仕様変更を行っています。

当初は1000335170/AD-7200S DVDドライブ 現在庫：１

１回目の仕様変更No. 201006150
旧1000335170/AD-7200S DVDドライブ 現在庫：１ → 新1000337330/パーツ未登録
旧2013542290/CDR161D20 フロントパネル ヌリ・シルク 現在庫：３ → 新201354229A/パーツ未登録
互換性：フロントパネルをセットで交換が必要

２回目の仕様変更No. 2011070031
旧1000337330/パーツ未登録 → 新1000339390/AD-7260S DVDドライブ 現在庫：０
互換性：あり

AD-7200からAD-7260に変更する場合、フロントパネルをセットで交換する必要があります。
AD-7260Sの使用実績：2011年～2012年の約1年間実績です。
"
C-DR161D20,部品一覧,"・メイン基板　7000446980　＠140000（仕切）

【SW部分交換一覧】

	7000403420	CDR161 SW KU(R0744/3)	1	7200	7200
	1155122090 	CDR161 ﾗﾊﾞ-ｽｲﾂﾁ 8ﾚﾝ ｼﾙｸ	1	880	880
	1155122100   	CDR161 ﾗﾊﾞ-ｽｲﾂﾁ 4ﾚﾝ	1	980	980
	1155122230	CDR161 ﾗﾊﾞ-ｽｲﾂﾁ 4ﾚﾝ ｼﾙｸ	1	1120	1120
	1155121950	CDR161 ﾗﾊﾞ-ｽｲﾂﾁ 8ﾚﾝ	2	800	1600"
C-DR161D10,部品一覧,SW部分の交換部品はC-DR161D20の部品一覧参照ください
C-DR096D20,"C-DR096,C-DR166シリーズ　HDD異常に対する暫定処置","暫定処置ではありますが、以下対策が出ましたのでご対応お願い致します。
広域で依頼が発生する可能性有です。
併せてご対応よろしくお願い致します。

【内容】
C-DR096,C-DR166シリーズのレコーダーで出張修理訪問の際に添付のファームウェ
アにバージョンアップするようにTTSへ指示してください。
詳細は別途案内がありますが、特に「HDD異常」が納入から早期に発生している場合、
HDD自体は故障していないがファームウェアとの関係で「HDD異常」と判断してしまう事
への対策ファームです。

現在、試験的にティーエスコーポレーションにてHDD単体が故障しているのか？
を現地で「ＳＭＡＲＴ情報」を確認するように依頼しています、上記機器のHDD異常
がティーエスコーポレーション対応地域（中部、広島含む）で発生している場合、
TSCへ出来るだけ依頼してください。


■アップデートソフトウェア




■バージョンアップ方法
(9/1 13:41更新：手順7に「一旦OFFにし、再度」を追記）



■備考
１）今回のバージョンアップで録画映像が消去されることはありません。
２）今回のバージョンアップで録画設定等レコーダーの機器設定が消去されることはありません。
３）バージョンアップ手順を丁寧に説明したものが過去に作成されていましたので、
　　今回のバージョンアップに書き直したものを以下に添付します。必要であればご使用ください。"
C-DR096D20,BDメカ,"C-DR096D10
C-DR096D20
C-DR166D20
C-DR166D40

Z3778"
C-DR096D20,HDDのフォーマットについて,"HDDの片方だけエラー出てる場合、
エラー出ている方のみ交換。
交換しないほうのHDDのデータは残せます。
（残せると松永様-ASで確認済みです）

【手順】

データ残したい方のHDDを取り外して、フォーマット。
元に戻した場合、メイン基板に情報残っている為、認識してくれるとのこと。（by松原情報）


以下、堀情報。
C-DR096D20で、本日たまたま同じHDD片方NGの案件がありまして、
マニュアルに手順がありました。

S/M P41参照
機器メンテナンス→HDD初期化→HDD初期化画面で①⑧押しながら、メニューキーを押す。 

そうするとHDDの個別選択が出来、片方だけ初期化可能。
※増設HDD有る場合は、増設を先に個別初期化を。
＊必ず、AC電源を一度切る必要あり！！！！！"
C-DR096D10,"C-DR096,C-DR166シリーズ　HDD異常に対する暫定処置","暫定処置ではありますが、以下対策が出ましたのでご対応お願い致します。
広域で依頼が発生する可能性有です。
併せてご対応よろしくお願い致します。

【内容】
C-DR096,C-DR166シリーズのレコーダーで出張修理訪問の際に添付のファームウェ
アにバージョンアップするようにTTSへ指示してください。
詳細は別途案内がありますが、特に「HDD異常」が納入から早期に発生している場合、
HDD自体は故障していないがファームウェアとの関係で「HDD異常」と判断してしまう事
への対策ファームです。

現在、試験的にティーエスコーポレーションにてHDD単体が故障しているのか？
を現地で「ＳＭＡＲＴ情報」を確認するように依頼しています、上記機器のHDD異常
がティーエスコーポレーション対応地域（中部、広島含む）で発生している場合、
TSCへ出来るだけ依頼してください。


■アップデートソフトウェア




■バージョンアップ方法
(9/1 13:41更新：手順7に「一旦OFFにし、再度」を追記）



■備考
１）今回のバージョンアップで録画映像が消去されることはありません。
２）今回のバージョンアップで録画設定等レコーダーの機器設定が消去されることはありません。
３）バージョンアップ手順を丁寧に説明したものが過去に作成されていましたので、
　　今回のバージョンアップに書き直したものを以下に添付します。必要であればご使用ください。"
C-DR096D10,BDメカ,"C-DR096D10
C-DR096D20
C-DR166D20
C-DR166D40

Z3778"
C-DR096D10,ハードディスクエラー点検,"ハードディスクエラー表示が出た場合ログの確認が出来ません。
ハードディスクを点検用に入替えてチェックするのですが容量の同じものでないと認識しません。"
C-DR093-5,スイッチング電源情報,"PCFL-180P-F2SのCN12の22ピンがPS-ONになっています。
これをCOMに接続して、電位を0にすると電源が入りますので
デジレコ本体が無くても各電圧点検できます。

特注品は、24Vの電圧が異なるとお伝えしましたが、実際には
デジレコでは24V使用していなので関係ありませんでした。

3.3V,  5V,  12V, -12Vのどの電圧が出ていないかで或る程度絞れます。



◆対象製品
標準品：PCFL-180P-F2S
TOA様向け：PCFL-180P-F2SA   TOA部品番号：7000425620
 
-F2SAは、仕様の違いは標準タイプの-F2Sは出力電圧はDC24VですがF2SAはDC25.5V
となっております。
安全規格上、公称電圧としては-F2SAもDC24Vであるため製品仕様書上はDC24Vとさ
せて頂き弊社にて調整し出荷させて頂いておりました。
また、一部制御ICが標準タイプ-F2Sと-F2SAでは異なる点がございます。


株式会社ニプロン Nipron Co., Ltd.
営業統括本部　 沖　健太郎
兵庫県尼崎市西長洲町1丁目3番30号
Tel) 06-6487-0605 Fax) 06-6487-2212
E-Mail ：kntarou_oki@nipron.co.jp "
C-DR092W-10,HDD交換目安,"● 消耗品について
次の部品は消耗品です。寿命時間を目安にして交換してください。
ただし、この時間はあくまでも目安であり、部品を保証するもの
ではありません。

・冷却ファン　　：約 3 年（使用環境温度 25 ℃）
・ハードディスク：約 3 年（使用環境温度 25 ℃）"
C-DR092W-10,ファームウェア,ファームウェアは無い
C-DR091/161,ファームウェア,C-DV092W-6と同じファームウェア
C-DR091/161,HDD交換目安,"● 消耗品について
次の部品は消耗品です。寿命時間を目安にして交換してください。
ただし、この時間はあくまでも目安であり、部品を保証するもの
ではありません。

・冷却ファン　　：約 3 年（使用環境温度 25 ℃）
・ハードディスク：約 3 年（使用環境温度 25 ℃）"
C-DR091/161,"Windows7対応
■機種限定注意！　2種類あり　AS情報","◆対象機種
    C-DR091-1,C-DR091-3,C-DR091D6
    C-DV092W-6
  
    ※この機種以外の０９１・０９２シリーズには絶対適用しないでください。


◆事項
    対象機種はWindows７に対応しておりません。

     Windows７パソコンでカメラコントロールすると、操作時に数十秒のタイムラグが生じます。  


◆対応方法
    機器側ファームウエアーのバージョンアップ（2.13）で対応出来ます。


    ※添付ファイル参照
       解凍後、サービスマニュアルに沿ってバージョンアップしてください。


◆備考
    ブラウザはＩＥ８，ＩＥ９で動作検証済です。添付ファイル：394_1.zip


----------------------------------------------------------------------------------------------


◆対象機種
    C-DR161-6,C-DR161D6

    ※この機種以外の１６１シリーズには絶対適用しないでください。


◆事項
    対象機種はWindows７に対応しておりません。

     Windows７パソコンでカメラコントロールすると、操作時に数十秒のタイムラグが生じます。  


◆対応方法
    機器側ファームウエアーのバージョンアップ（2.13）で対応出来ます。


    ※添付ファイル参照
　　   解凍後、サービスマニュアルに沿ってバージョンアップしてください。


◆備考
    ブラウザはＩＥ８，ＩＥ９で動作検証済です。添付ファイル：395_1.zip"
C-DR091/161,ファームUP & 容量制限の操作方法,"　１、ファームウエアのバージョンUP											
											
　①本体の電源をOFFにする。（電源プラグを抜く）											
											
　②「8」と「9」のキーを同時押ししながら、本体の電源をONにする。（電源プラグを差す）											
　　　録画LEDと電源LEDが点灯するまで押し続ける。											
											
　③ファームウエアが入ったUSBを本体のコピー端子に挿入する。											
											
　④録画LEDと電源LEDが消灯し、緊急録画LEDが点滅して、読み込みが開始される。											
											
　⑤読み込みが完了するとプロントパネルのLEDが全点灯する。											
											
　⑥USBメモリーを抜き、本体の電源プラグの抜き差しから、電源キーで起動させる。											
											
　⑦起動時にモニター1の画面にソフトバージョンが表示されるので、更新されたことを確認する。											
											
　２、HDD容量制限方法											
											
　①本体内部のHDDを1個だけ新しいHDDに交換する。（正常に動作するHDDは残す）											
											
　②本体の電源をOFFにする。（電源プラグを抜く）											
											
　③「1」と「８」のキーを押しながら電源プラグを接続し、「しばらくお待ちください」と表示される											
　 　までキーを押し続ける。数分後に容量制限メニューが表示される←かなり時間がかかる。											
											
　④「内蔵HDD制限容量設定」を選択してメニューキーを押す。											
											
　　その後「実行しますか？　はい　キャンセル」が表示されるので、「はい」を選択する。											
　　※接続されているHDDの内、最小の容量に制限される。											
											
　⑤交換していないHDDを新しいHDDに交換する。											
											
　⑥HDDを初期化する。											
   　メニューキーの長押しで「メインメニュー」を表示させる。											
		↓									
	「機器メンテナンス」を選択する。										
		↓									
	「ハードディスクの初期化」から行う。										
"
